site_id,site_name,region,ccamlr_id,latitude,longitude,input_srid
CRAB,Crab Beach,Elephant Island,48.1,-61.246,-55.17,4326
CRAG,Near Craggy Point (Sugarloaf Island),Elephant Island,48.1,-61.302,-54.186,4326
CRBA,Cresta Run Bay,Elephant Island,48.1,-61.236,-55.359,4326
CROB,Cape Robertson,South Orkney Islands,48.2,-60.714,-44.84,4326
CROW,Crown Head,South Orkney Islands,48.2,-60.623,-45.316,4326
CROZ,Cape Crozier,Victoria Land,88.1,-77.46,169.32,4326
CRUZ,Cruzen Island,Marie Byrd Land,88.2,-74.7341,-140.3266,4326
CRWL,Cornwallis Island,Elephant Island,48.1,-61.0724,-54.4641,4326
CRYS,Crystal Hill,Northeast Antarctic Peninsula,48.1,-63.649444,-57.745833,4326
CSOU,Coulman South,Victoria Land,88.1,-73.5137,169.8779,4326
CURZ,Curzon Islands,Wilkes Land,58.4.1,-66.767,141.5669,4326
CUVE,Cuverville Island,Central-west Antarctic Peninsula,48.1,-64.684,-62.626,4326
CVIK,Cape Vik,South Orkney Islands,48.2,-60.655,-45.663,4326
DAMO,Dorian Bay/Damoy Point,Central-west Antarctic Peninsula,48.1,-64.8149,-63.4968,4326
DANC,Danco Island,Central-west Antarctic Peninsula,48.1,-64.734,-62.5938,4326
DARB,Darbel Island,Southwest Antarctic Peninsula,48.1,-66.3808,-65.9003,4326
DARN,Cape Darnley,Mac. Robertson Land,58.4.2,-67.88,69.7,4326
DARW,Darwin Island,Northeast Antarctic Peninsula,48.1,-63.437,-54.726,4326
DARX,Darboux Island,Central-west Antarctic Peninsula,48.1,-65.4028,-64.215,4326
DAVE,Davey Point,South Shetland Islands,48.1,-61.9689,-58.5302,4326
DAVI,Davis Island,Wilkes Land,58.4.1,-66.6637,108.4444,4326
DAWS,Dawson,Coats Land,48.5,-76.02,-26.67,4326
DBAY,Davis Bay,Victoria Land,88.1,-69.35,158.49,4326
DECI,Decimal Point,Elephant Island,48.1,-61.097,-54.702,4326
DEEI,Dee Island,South Shetland Islands,48.1,-62.4229,-59.7836,4326
DELA,Delaite Island,Central-west Antarctic Peninsula,48.1,-64.5643,-62.1881,4326
DEMA,Demay Point,South Shetland Islands,48.1,-62.2137,-58.4191,4326
DEMS,Demas Rocks,Northwest Antarctic Peninsula,48.1,-63.35,-58.0333,4326
DENI,Cape Denison,Victoria Land,58.4.1,-67.0072,142.6647,4326
DEPT,Devils Point,South Shetland Islands,48.1,-62.6714,-61.1829,4326
DESC,Descazes Island,Southwest Antarctic Peninsula,48.1,-67.3334,-67.3334,4326
DESO,Desolation Island,South Shetland Islands,48.1,-62.4578,-60.3468,4326
DETA,Detaille Island,Southwest Antarctic Peninsula,48.1,-66.8708,-66.7867,4326
DEVI,Devil Island,Northeast Antarctic Peninsula,48.1,-63.7992,-57.2889,4326
DIBB,Dibble Glacier,Wilkes Land,58.4.1,-66.01,134.79,4326
DOBE,Dorian Beacon,Central-west Antarctic Peninsula,48.1,-64.8149,-63.4968,4326
DOLL,Dolleman,Palmer Land,48.5,-70.61,-60.43,4326
DOME,Dome Island (Aviation Islands),Victoria Land,88.1,-69.2667,158.7833,4326
DOU1,Douglas Islands 1,Mac. Robertson Land,58.4.2,-67.3803,63.3893,4326
DOU2,Douglas Islands 2,Mac. Robertson Land,58.4.2,-67.3849,63.3895,4326
DOWN,Downshire Cliffs,Victoria Land,88.1,-71.5582,170.592,4326
DREA,Dream Island,Central-west Antarctic Peninsula,48.1,-64.7254,-64.2256,4326
DRES,Drescher,Queen Maud Land,48.6,-72.83,-19.34,4326
DREW,Dream Island West (Casey Islands),Central-west Antarctic Peninsula,48.1,-64.729528,-64.253955,4326
DUFF,Duff Point (Greenwich Island),South Shetland Islands,48.1,-62.45,-60.033333,4326
DUKE,Duke of York Island,Victoria Land,88.1,-71.6235,170.0635,4326
DUND,Dundee Island,Northeast Antarctic Peninsula,48.1,-63.483,-55.966,4326
DUPT,Duthiers Point,Central-west Antarctic Peninsula,48.1,-64.8049,-62.8179,4326
DURO,Duroch Islands,Northwest Antarctic Peninsula,48.1,-63.3033,-57.8903,4326
DURV,d'Urville Monument,Northeast Antarctic Peninsula,48.1,-63.4267,-56.2944,4326
DUTH,Duthoit Point,South Shetland Islands,48.1,-62.307,-58.835,4326
EADI,Eadie Island,Elephant Island,48.1,-61.482,-55.929,4326
EAGL,Eagle Island,Northeast Antarctic Peninsula,48.1,-63.659936,-57.489457,4326
EARL,Earle Island,Northeast Antarctic Peninsula,48.1,-63.4833,-54.7833,4326
ECAP,East Cape,South Orkney Islands,48.2,-60.633,-45.201,4326
ECKE,Eckener Point,Central-west Antarctic Peninsula,48.1,-64.4309,-61.6042,4326
EDEN,Eden Rocks,Northeast Antarctic Peninsula,48.1,-63.4946,-55.7018,4326
EDMO,Edmonson Point,Victoria Land,88.1,-74.3167,165.0666,4326
EDWA,Edwards Point,South Shetland Islands,48.1,-62.4629,-59.4984,4326
EDWI,Edwards Islands,Marie Byrd Land,88.3,-73.8701,-103.0057,4326
EGAR,East 2-3 km of Cape Garry,South Shetland Islands,48.1,-63.3555,-62.2131,4326
EIP0,Elephant Island (north coast point 0),Elephant Island,48.1,-61.077,-55.145,4326
EIP1,Elephant Island (north coast point 1),Elephant Island,48.1,-61.091,-55.113,4326
EIP2,Elephant Island (north coast point 2),Elephant Island,48.1,-61.093,-55.087,4326
EIP3,Elephant Island (north coast point 3),Elephant Island,48.1,-61.092,-55.074,4326
EIP4,Elephant Island (north coast point 4),Elephant Island,48.1,-61.094,-55.067,4326
EIP5,Elephant Island (north coast point 5),Elephant Island,48.1,-61.094,-55.057,4326
ELLI,Ellium Island,South Orkney Islands,48.2,-60.694,-44.871,4326
ELPT,Elephant Point,South Shetland Islands,48.1,-62.6924,-60.8573,4326
EMEI,East of Meier Point,South Orkney Islands,48.2,-60.62,-45.87,4326
EMER,Emerald Cove,South Shetland Islands,48.1,-61.906208,-57.682158,4326
EMPE,Emperor Island,Southwest Antarctic Peninsula,48.1,-67.8647,-68.71,4326
ENTE,Enterprise Island,Central-west Antarctic Peninsula,48.1,-64.538484,-61.99966,4326
ENTR,Entrance Point,South Shetland Islands,48.1,-62.9981,-60.5533,4326
ENTW,Entrance Point West,South Shetland Islands,48.1,-63.008,-60.562,4326
ETNA,Etna Island,Northeast Antarctic Peninsula,48.1,-63.0948,-55.179,4326
EVEN,Cape Evensen (mainland),Southwest Antarctic Peninsula,48.1,-66.164,-65.683,4326
EVER,Cape Evensen (offshore rocks),Southwest Antarctic Peninsula,48.1,-66.157904,-65.720454,4326
EXTE,Extension Reef,Southwest Antarctic Peninsula,48.1,-65.9675,-66.121944,4326
EYRI,Eyrie Bay,Northeast Antarctic Peninsula,48.1,-63.578333,-57.676667,4326
FALS,False Island Point (Vega Island),Northeast Antarctic Peninsula,48.1,-63.927222,-57.3425,4326
FARE,Farewell Rock,Central-west Antarctic Peninsula,48.1,-63.8678,-61.0183,4326
FARI,False Ridge,Elephant Island,48.1,-61.283,-54.052,4326
FBER,Fortenberry,Victoria Land,88.1,-70.7662,167.0789,4326
FERG,Ferguslie Peninsula,South Orkney Islands,48.2,-60.693,-44.567,4326
FERR,Ferrier Peninsula,South Orkney Islands,48.2,-60.715,-44.425,4326
FILD,Fildes Peninsula (northwest side),South Shetland Islands,48.1,-62.173,-58.97,4326
FISH,Fish Islands,Southwest Antarctic Peninsula,48.1,-66.0275,-65.3611,4326
FITC,Fitchie Bay,South Orkney Islands,48.2,-60.714,-44.494,4326
FIZK,Fizkin Island (islet northeast of Fizkin Island),Southwest Antarctic Peninsula,48.1,-65.514,-65.48,4326
FLIE,Fliess Bay,Northeast Antarctic Peninsula,48.1,-63.2045,-55.2412,4326
FLOR,Florence Rock,South Orkney Islands,48.2,-60.768,-44.622,4326
FOLD,Fold Island,Kemp Land,58.4.2,-67.32,59.32,4326
FORB,Forbes Glacier,Mac. Robertson Land,58.4.2,-67.5964,62.2858,4326
FORT,Fort Point (Greenwich Island),South Shetland Islands,48.1,-62.542,-59.58,4326
FOYN,Foyn Harbor (Enterprise Island),Central-west Antarctic Peninsula,48.1,-64.554167,-62.009167,4326
FRAE,Franklin Island East,Victoria Land,88.1,-76.1581,168.4101,4326
FRAM,Fram Islands,Wilkes Land,58.4.1,-66.637,139.825,4326
FRAN,Franklin Island,Victoria Land,88.1,-76.18,168.43,4326
FRAW,Franklin Island West,Victoria Land,88.1,-76.1618,168.3383,4326
FRED,Fredriksen Island,South Orkney Islands,48.2,-60.7326,-44.9901,4326
FRNC,Francais Rocks,Northeast Antarctic Peninsula,48.1,-63.027691,-56.008571,4326
FRPT,False Round Point,South Shetland Islands,48.1,-61.8983,-57.9893,4326
FURS,Fur Seal Point,Elephant Island,48.1,-61.218,-54.043,4326
FYRC,Fyr Channel,South Orkney Islands,48.2,-60.729,-45.673,4326
GALE,Galindez Island East,Central-west Antarctic Peninsula,48.1,-65.2476,-64.2399,4326
GALS,Galindez Island South,Central-west Antarctic Peninsula,48.1,-65.252,-64.246,4326
GAMP,Gam Point Area,South Shetland Islands,48.1,-61.9227,-57.9546,4326
GARY,Cape Garry,South Shetland Islands,48.1,-63.361,-62.258,4326
GAST,Gaston Islands,Central-west Antarctic Peninsula,48.1,-64.4848,-61.827,4326
GEDD,Cape Geddes,South Orkney Islands,48.2,-60.685,-44.59,4326
GEOR,Georges Point (Ronge Island),Central-west Antarctic Peninsula,48.1,-64.6694,-62.6696,4326
GERD,Gerd Island,South Orkney Islands,48.2,-60.6574,-45.7437,4326
GERL,Gerlache Island,Central-west Antarctic Peninsula,48.1,-64.601,-64.214,4326
GIBA,Gibbon Bay,South Orkney Islands,48.2,-60.649,-45.214,4326
GIBB,Gibbs Island,Elephant Island,48.1,-61.471,-55.6385,4326
GIBS,Gibson Bay,Northeast Antarctic Peninsula,48.1,-63.318,-55.842,4326
GING,Ginger Island,Southwest Antarctic Peninsula,48.1,-67.7494,-68.6858,4326
GLAN,Glandaz Point,Central-west Antarctic Peninsula,48.1,-65.0911,-63.9591,4326
GNEY,Gibbney Island,Mac. Robertson Land,58.4.2,-67.5543,62.3205,4326
GOLF,Golfcourse Point,Elephant Island,48.1,-61.128,-55.473,4326
GOPT,Gourlay Point,South Orkney Islands,48.2,-60.7309,-45.5863,4326
GOSL,Gosling Islands,South Orkney Islands,48.2,-60.642,-45.942,4326
GOUL,Gould,NA,48.5,-77.71,-47.68,4326
GOUR,Gourdin Island,Northwest Antarctic Peninsula,48.1,-63.1969,-57.3074,4326
GOWC,Gosling Islands (west coast),South Orkney Islands,48.2,-60.64,-45.908,4326
GRAP,Graptolite Island,South Orkney Islands,48.2,-60.7159,-44.4621,4326
GREE,The Green Glen,Elephant Island,48.1,-61.271,-55.266,4326
GREI,Green Island,Central-west Antarctic Peninsula,48.1,-65.3236,-64.1487,4326
GREY,Grey Island,South Orkney Islands,48.2,-60.7487,-45.0149,4326
GRIB,Georges Rib,Elephant Island,48.1,-61.157,-54.973,4326
GRIN,Grinder Rock,Central-west Antarctic Peninsula,48.1,-63.966,-61.4256,4326
GUNN,Gunnerus,Queen Maud Land,58.4.2,-68.75,34.38,4326
HALF,Half Moon Island,South Shetland Islands,48.1,-62.596,-59.918,4326
HALY,Halley,Coats Land,48.5,-75.54,-27.43,4326
HANN,Hannah Point,South Shetland Islands,48.1,-62.6545,-60.6134,4326
HANS,"Cape Hansen, Coronation Island",South Orkney Islands,48.2,-60.659,-45.584,4326
HARE,Harmony Point (east),South Shetland Islands,48.1,-62.304,-59.229,4326
HARM,Harmony Point,South Shetland Islands,48.1,-62.3064,-59.2425,4326
HASW,Haswell Island,Queen Mary Land,58.4.1,-66.52,93.01,4326
HBAY,Harald Bay,Victoria Land,88.1,-69.1977,157.6894,4326
HENN,Hennequin Point,South Shetland Islands,48.1,-62.124,-58.396,4326
HENR,Henry Islands,Wilkes Land,58.4.1,-66.8781,120.6206,4326
HERO,Heroina Island,Northeast Antarctic Peninsula,48.1,-63.3944,-54.6083,4326
HEYN,North of Heywood Island,South Shetland Islands,48.1,-62.312,-59.66,4326
HEYW,Heywood Island,South Shetland Islands,48.1,-62.3174,-59.6854,4326
HIDD,Hidden Bay,Central-west Antarctic Peninsula,48.1,-65.048889,-63.780278,4326
HILL,Camp Hill,Northeast Antarctic Peninsula,48.1,-63.675889,-57.847732,4326
HINO,Cape Hinode,Queen Maud Land,58.4.2,-68.1453,42.6612,4326
HOKU,Hokuro Cove,Queen Maud Land,58.4.2,-69.213,39.629,4326
HOLD,Holdfast Point (mainland and offshore rocks),Southwest Antarctic Peninsula,48.1,-66.7917,-66.5867,4326
HOLL,Holl/O'Connor,Wilkes Land,58.4.1,-66.4118,110.4315,4326
HOOK,Cape Hooker,South Shetland Islands,48.1,-63.334,-61.963,4326
HOPE,Hope Bay,Northeast Antarctic Peninsula,48.1,-63.3972,-56.9978,4326
HORI,Horseshoe Island,Southwest Antarctic Peninsula,48.1,-67.816111,-67.236389,4326
HORS,Cape Hooker Rock (south),South Shetland Islands,48.1,-63.345,-61.982,4326
HOVG,Hovgaard Island,Central-west Antarctic Peninsula,48.1,-65.1296,-64.0939,4326
HPNE,Hall Peninsula (northeast),South Shetland Islands,48.1,-62.769,-61.241,4326
HPSW,Hall Peninsula (southwest),South Shetland Islands,48.1,-62.775,-61.244,4326
HUMB,Humble Island,Central-west Antarctic Peninsula,48.1,-64.7647,-64.0875,4326
HUMM,Two Hummock Island,Central-west Antarctic Peninsula,48.1,-64.1362,-61.7033,4326
HUMP,Humphries Heights,Central-west Antarctic Peninsula,48.1,-65.0557,-63.8637,4326
HUNT,Hunt Island,Central-west Antarctic Peninsula,48.1,-64.333,-62.117,4326
HURE,Hurd Peninsula (east),South Shetland Islands,48.1,-62.695,-60.379,4326
HURW,Hurd Peninsula (west),South Shetland Islands,48.1,-62.674,-60.406,4326
HUTB,Hut Bluff,Elephant Island,48.1,-61.219,-55.14,4326
HYDR,Hydrurga Rocks,Central-west Antarctic Peninsula,48.1,-64.1454,-61.6259,4326
IFOI,Ifo Island Area,Wilkes Land,58.4.1,-66.627,139.728,4326
INAC,Inaccessible Island,South Orkney Islands,48.2,-60.5667,-46.7333,4326
INEX,Inexpressible Island,Victoria Land,88.1,-74.9009,163.7287,4326
INTE,Intercurrence Island,Central-west Antarctic Peninsula,48.1,-63.933,-61.416,4326
IOLB,Isles of Litwin Bay,South Shetland Islands,48.1,-61.99,-58.569,4326
IVAN,Ivanhoff Head,Wilkes Land,58.4.1,-66.8803,109.1276,4326
JACO,Jacobs Ladder,Elephant Island,48.1,-61.152,-54.737,4326
JACP,Jacques Peak,Central-west Antarctic Peninsula,48.1,-64.5152,-61.8342,4326
JADE,Jade Point,Northeast Antarctic Peninsula,48.1,-63.6028,-57.5935,4326
JAME,Cape James,South Shetland Islands,48.1,-63.0903,-62.6979,4326
JANE,Janet Rock,Wilkes Land,58.4.1,-66.5698,139.1651,4326
JAQU,Jaquinot Rocks,Northwest Antarctic Peninsula,48.1,-63.441,-58.421,4326
JENN,Jenny Island,Southwest Antarctic Peninsula,48.1,-67.729722,-68.383889,4326
JESS,Jessie Bay,South Orkney Islands,48.2,-60.719,-44.694,4326
JING,Jingle Island,Southwest Antarctic Peninsula,48.1,-65.4303,-65.3253,4326
